title_name,title_url,title_date,title_date_url
"Kabar Baik! CDC AS Tetapkan Indonesia Level 1 COVID-19, Ini Artinya",https://health.detik.com/berita-detikhealth/d-5787500/kabar-baik-cdc-as-tetapkan-indonesia-level-1-covid-19-ini-artinya,"detikHealthJumat, 29 Okt 2021 08:37 WIB",https://health.detik.com/berita-detikhealth/d-5787500/kabar-baik-cdc-as-tetapkan-indonesia-level-1-covid-19-ini-artinya
"Kabar Baik! CDC AS Tetapkan Indonesia Level 1 COVID-19, Ini Artinya",https://health.detik.com/berita-detikhealth/d-5787500/kabar-baik-cdc-as-tetapkan-indonesia-level-1-covid-19-ini-artinya,"detikHealthJumat, 29 Okt 2021 08:37 WIB",https://health.detik.com/berita-detikhealth/d-5787500/kabar-baik-cdc-as-tetapkan-indonesia-level-1-covid-19-ini-artinya
Serba-serbi Varian Corona AY.4.2 yang Jadi Perhatian Menkes,https://health.detik.com/detiktv/d-5787495/serba-serbi-varian-corona-ay42-yang-jadi-perhatian-menkes,"detikHealthJumat, 29 Okt 2021 08:31 WIB",https://health.detik.com/detiktv/d-5787495/serba-serbi-varian-corona-ay42-yang-jadi-perhatian-menkes
"China Kejar Nol Kasus COVID-19, Tiga Kota Lockdown!",https://health.detik.com/berita-detikhealth/d-5787483/china-kejar-nol-kasus-covid-19-tiga-kota-lockdown,"detikHealthJumat, 29 Okt 2021 08:02 WIB",https://health.detik.com/berita-detikhealth/d-5787483/china-kejar-nol-kasus-covid-19-tiga-kota-lockdown
Aturan Terbaru PCR dari Harga Turun hingga Masa Berlaku,https://news.detik.com/berita/d-5787481/aturan-terbaru-pcr-dari-harga-turun-hingga-masa-berlaku,"detikNewsJumat, 29 Okt 2021 08:00 WIB",https://news.detik.com/berita/d-5787481/aturan-terbaru-pcr-dari-harga-turun-hingga-masa-berlaku
Alasan Wakil Ketua KPK Nawawi Tak Ikut Raker di Hotel Bintang Lima,https://news.detik.com/berita/d-5787471/alasan-wakil-ketua-kpk-nawawi-tak-ikut-raker-di-hotel-bintang-lima,"detikNewsJumat, 29 Okt 2021 07:45 WIB",https://news.detik.com/berita/d-5787471/alasan-wakil-ketua-kpk-nawawi-tak-ikut-raker-di-hotel-bintang-lima
"Bulan Depan, Malaysia Lakukan Uji Klinis Vaksin Sinovac untuk Anak 3-12 Tahun",https://health.detik.com/berita-detikhealth/d-5787464/bulan-depan-malaysia-lakukan-uji-klinis-vaksin-sinovac-untuk-anak-3-12-tahun,"detikHealthJumat, 29 Okt 2021 07:30 WIB",https://health.detik.com/berita-detikhealth/d-5787464/bulan-depan-malaysia-lakukan-uji-klinis-vaksin-sinovac-untuk-anak-3-12-tahun
Sederet Jurus Tangkisan KPK Saat Dikritik Gelar Raker di Hotel Mewah Yogya,https://news.detik.com/berita-jawa-tengah/d-5787461/sederet-jurus-tangkisan-kpk-saat-dikritik-gelar-raker-di-hotel-mewah-yogya,"detikNewsJumat, 29 Okt 2021 07:21 WIB",https://news.detik.com/berita-jawa-tengah/d-5787461/sederet-jurus-tangkisan-kpk-saat-dikritik-gelar-raker-di-hotel-mewah-yogya
"Hadapi Ancaman Gelombang 3, Kemenkes Singgung Amukan Corona di Singapura",https://health.detik.com/berita-detikhealth/d-5787443/hadapi-ancaman-gelombang-3-kemenkes-singgung-amukan-corona-di-singapura,"detikHealthJumat, 29 Okt 2021 07:01 WIB",https://health.detik.com/berita-detikhealth/d-5787443/hadapi-ancaman-gelombang-3-kemenkes-singgung-amukan-corona-di-singapura
Polda Metro Luncurkan Aplikasi 'OSS' Jasa Pengamanan,https://news.detik.com/berita/d-5787416/polda-metro-luncurkan-aplikasi-oss-jasa-pengamanan,"detikNewsJumat, 29 Okt 2021 06:18 WIB",https://news.detik.com/berita/d-5787416/polda-metro-luncurkan-aplikasi-oss-jasa-pengamanan
